VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-02-20T07:49:06.000,2022-02-20T07:53:36.000,1.0,0.7,1.0,N,161,230,2,4.5,2.5,0.5,0.0,0.0,0.3,7.8,2.5,0.0
1,2022-01-27T22:01:16.000,2022-01-27T22:26:53.000,1.0,4.7,1.0,N,148,37,2,16.5,3.0,0.5,0.0,0.0,0.3,20.3,2.5,0.0
2,2022-01-06T10:14:26.000,2022-01-06T10:25:03.000,1.0,2.27,1.0,N,224,229,1,9.5,0.0,0.5,0.0,0.0,0.3,12.8,2.5,0.0
2,2022-05-23T11:23:34.000,2022-05-23T11:38:55.000,2.0,1.46,1.0,N,263,237,1,10.5,0.0,0.5,1.38,0.0,0.3,15.18,2.5,0.0
2,2022-12-06T07:10:24.000,2022-12-06T07:14:26.000,6.0,0.68,1.0,N,236,263,1,4.5,0.0,0.5,1.56,0.0,0.3,9.36,2.5,0.0
2,2022-11-05T09:24:32.000,2022-11-05T09:27:29.000,1.0,0.66,1.0,N,90,113,1,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5,0.0
2,2022-11-10T06:52:33.000,2022-11-10T06:57:40.000,2.0,0.98,1.0,N,236,75,1,5.5,0.0,0.5,1.0,0.0,0.3,9.8,2.5,0.0
1,2022-04-15T21:14:00.000,2022-04-15T21:18:58.000,1.0,0.9,1.0,N,239,143,1,5.5,3.0,0.5,1.0,0.0,0.3,10.3,2.5,0.0
2,2022-05-10T06:44:44.000,2022-05-10T07:18:06.000,5.0,9.84,1.0,N,132,92,2,31.5,0.0,0.5,0.0,0.0,0.3,33.55,0.0,1.25
2,2022-04-22T15:27:48.000,2022-04-22T15:32:17.000,1.0,0.63,1.0,N,163,230,1,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5,0.0
1,2022-01-20T13:03:23.000,2022-01-20T13:28:52.000,2.0,3.8,1.0,N,163,211,1,17.5,2.5,0.5,2.0,0.0,0.3,22.8,2.5,0.0
2,2022-03-06T08:58:32.000,2022-03-06T09:06:46.000,1.0,2.17,1.0,N,236,151,2,9.0,0.0,0.5,0.0,0.0,0.3,12.3,2.5,0.0
2,2022-10-04T13:17:45.000,2022-10-04T13:36:00.000,1.0,1.94,1.0,N,107,161,2,12.5,0.0,0.5,0.0,0.0,0.3,15.8,2.5,0.0
2,2022-07-12T18:49:35.000,2022-07-12T19:02:24.000,1.0,2.17,1.0,N,234,229,1,10.5,1.0,0.5,4.0,0.0,0.3,18.8,2.5,0.0
2,2022-08-12T08:14:29.000,2022-08-12T08:24:21.000,1.0,0.95,1.0,N,68,48,2,6.0,0.0,0.5,0.0,0.0,0.3,9.3,2.5,0.0
1,2022-11-01T07:13:17.000,2022-11-01T07:31:56.000,1.0,6.5,1.0,N,140,244,1,21.5,2.5,0.5,6.2,0.0,0.3,31.0,2.5,0.0
2,2022-10-07T14:01:23.000,2022-10-07T14:19:11.000,2.0,2.44,1.0,N,236,164,1,13.0,0.0,0.5,3.26,0.0,0.3,19.56,2.5,0.0
2,2022-11-06T13:53:18.000,2022-11-06T13:56:15.000,1.0,0.51,1.0,N,237,236,1,4.0,0.0,0.5,1.0,0.0,0.3,8.3,2.5,0.0
2,2022-04-07T15:02:32.000,2022-04-07T15:37:41.000,1.0,5.56,1.0,N,43,209,2,24.5,0.0,0.5,0.0,0.0,0.3,27.8,2.5,0.0
2,2022-08-30T12:05:21.000,2022-08-30T12:05:29.000,4.0,0.0,5.0,N,265,265,1,104.0,0.0,0.0,0.0,0.0,0.3,104.3,0.0,0.0
2,2022-06-08T09:38:52.000,2022-06-08T09:49:51.000,2.0,1.81,1.0,N,239,237,1,9.0,0.0,0.5,1.84,0.0,0.3,14.14,2.5,0.0
